,locality
0,Kurla 
1,Sadan wadi
2,Chembur 
3,Chembur
4,Mulund
5,Antop Hill
6,Vikhroli 
7,Govandi
8,Chembur 
9,Powai
10,Bhandup 
11,Mulund
12,Chandivali
13,Powai
14,Mulund
15,Bhandup 
16,Kurla 
17,Mulund
18,Tagore Nagar
19,Kannamwar Nagar 2
20,Kanjurmarg 
21,Chandivali
22,Mulund
23,Kanjurmarg 
24,Kanjurmarg 
25,Vikhroli 
26,Kanjurmarg 
27,Mulund
28,Raheja Vihar
29,Chembur
30,Bhandup 
31,Kanjurmarg west
32,Mulund
33,Bhandup 
34,Chembur
35,Powai
36,Bhandup 
37,Mulund
38,Kurla 
39,Mulund
40,Mulund
41,Bhandup 
42,Powai
43,Mulund
44,Mulund
45,Vikhroli 
46,Khalai Village
47,Ghatkopar 
48,Nahur 
49,Ghatla
50,Mulund
51,Mulund
52,Kurla 
53,Mulund
54,Vikhroli 
55,Mulund
56,Ghatkopar 
57,Chembur 
58,Sindhi Colony
59,Vidyavihar 
60,Kurla 
61,Bhandup 
62,Kanjurmarg 
63,Powai
64,Mulund
65,Powai
66,Mulund
67,Mulund
68,Chembur
69,Chembur
70,Mulund
71,Govandi
72,Ghatkopar 
73,Mulund
74,Ghatkopar 
75,Ghatkopar 
76,Ghatkopar 
77,Mulund
78,Mulund
79,Kurla 
80,Powai
81,Chembur
82,Chembur 
83,Powai
84,Mulund
85,Powai
86,Ghatkopar 
87,Ghatkopar 
88,Powai
89,Vikhroli 
90,Vikhroli 
91,Kurla 
92,Kurla 
93,Powai
94,Chembur
95,Kanjurmarg 
96,Chembur
97,Chandivali
98,Kurla 
99,Powai
100,Chembur
101,Pirojshanagar
102,Pirojshanagar
103,Powai
104,Powai
105,Bhandup 
106,Mulund
107,Mulund
108,Powai
109,Powai
110,Vikhroli 
111,Kannamwar Nagar 1
112,Pirojshanagar
113,Mulund
114,Mulund
115,Mulund
116,Vikhroli 
117,Chembur
118,Pirojshanagar
119,Chembur
120,Powai
121,Maneklal Estate
122,Ghatkopar 
123,Maneklal Estate
124,Ghatkopar 
125,Ghatkopar 
126,Mulund
127,Vikhroli 
128,Powai
129,Chembur 
130,Chembur
131,Chembur
132,Kurla 
133,Powai
134,Deonar
135,Powai
136,Pant Nagar
137,Chandivali
138,Mulund
139,Mulund
140,Pirojshanagar
141,Powai
142,Chembur
143,Chembur
144,Mulund
145,Sambhaji Nagar
146,Chandivali
147,Powai
148,Powai
149,Ghatkopar 
150,Ghatkopar 
151,Pant Nagar
152,Powai
153,Sindhi Society Chembur
154,Powai
155,Pirojshanagar
156,Chandivali
157,Vikhroli 
158,Powai
159,Deonar
160,Powai
161,Garodia Nagar
162,Mulund
163,Kurla 
164,Chembur
165,Powai
166,Chembur 
167,Chembur 
168,Deonar
169,Hariyali
170,Chembur
171,Chembur
172,Chembur
173,Pant Nagar
174,Postal Colony
175,Kanjurmarg 
176,Pirojshanagar
177,Kanjurmarg 
178,Kanjurmarg west
179,Ghatkopar 
180,Ghatkopar 
181,Ganesh Nagar
182,Ghatkopar 
183,Ghatkopar 
184,Chembur 
185,Chandivali
186,Swastik Park
187,Powai
188,Pant Nagar
189,Powai
190,Chembur
191,Tilak nagar
192,Ghatkopar 
193,Ghatkopar 
194,Ghatkopar 
195,Chandivali
196,Mulund
197,Mulund
198,Mulund
199,Mulund
200,Mulund
201,Mulund
202,Mulund
203,Mulund
204,Kanjurmarg 
205,Mulund
206,Chembur
207,Chembur
208,Powai
209,Powai
210,Deonar
211,Powai
212,Chembur
213,Bhandup 
214,Mulund
215,Powai
216,Powai
217,Powai
218,Tagore Nagar
219,Chandivali
220,Chembur
221,Chembur
222,Chembur
223,Mulund
224,Mulund
225,Deonar
226,Chembur
227,Chembur
228,Chembur
229,Kurla 
230,Powai
231,Chembur 
232,Chandivali
233,Powai
234,Powai
235,Swastik Park
236,Nahar Amrit Shakti
237,Powai
238,Mulund
239,Mulund
240,Ghatkopar 
241,Ghatkopar 
242,Ghatkopar 
243,Mulund
244,Mulund
245,Deonar
246,Deonar
247,Deonar
248,Deonar
249,Deonar
250,Ghatkopar 
251,Ghatkopar 
252,Kanjurmarg 
253,Chembur 
254,Chembur 
255,Chembur 
256,Chembur 
257,Deonar
258,Ghatkopar 
259,Powai
260,Chembur
261,Nahur 
262,Ghatkopar 
263,Kanjurmarg 
264,Kanjurmarg 
265,Chandivali
266,Chembur 
267,Chembur 
268,Chembur 
269,Chembur
270,Chembur
271,Chembur
272,Powai
273,Powai
274,Krishna Nagar
275,Kanjurmarg 
276,Mulund
277,Mulund
278,Chandivali
279,Powai
280,Chandivali
281,Powai
282,Ghatkopar 
283,Powai
284,Kanjurmarg 
285,Powai
286,Chembur
287,Kannamwar Nagar 1
288,Kannamwar Nagar 2
289,Powai
290,Chembur
291,Chandivali
292,Mulund
293,Powai
294,Kanjurmarg west
295,Mulund
296,Powai
297,Bhandup 
298,Mulund
299,Chembur 
300,Chembur
301,Kanjurmarg west
302,Garodia Nagar
303,Powai
304,Powai
305,Powai
306,Powai
307,Chandivali
308,Kannamwar Nagar 2
309,Powai
310,Pirojshanagar
311,Chembur
312,Ghatkopar 
313,Ghatkopar 
314,Ghatkopar 
315,Ghatkopar 
316,Ghatkopar 
317,Mulund
318,Tambe Nagar
319,Deonar
320,Ghatkopar 
321,Powai
322,Powai
323,Ghatkopar 
324,Tilak nagar
325,Kanjurmarg 
326,Mulund
327,Chembur 
328,Chembur
329,Kanjurmarg 
330,Ghatkopar
331,Ghatkopar
332,Ghatkopar
333,Powai
334,Vikhroli 
335,Bhandup 
336,Mulund
337,Vikhroli 
338,Mulund
339,Chandivali
340,Chandivali
341,Chandivali
342,Powai
343,Powai
344,Powai
345,Powai
346,Powai
347,Powai
348,Chandivali
349,Sion 
350,Tilak nagar
351,Powai
352,Mulund
353,Tilak nagar
354,Powai
355,Powai
356,Nahur 
357,Ghatkopar 
358,Hariyali
359,Tunga Village
360,Chembur
361,Chandivali
362,Chembur
363,Chembur
364,Deonar
365,Chembur
366,Mulund
367,Mulund
368,Deonar
369,Chembur Gaothan
370,Chembur 
371,Chembur
372,Chembur
373,Chembur
374,Chembur 
375,Union Park
376,Kanjurmarg 
377,Mulund
378,Chembur
379,Chembur 
380,Chembur 
381,Mulund
382,Mulund
383,Chembur 
384,Tilak nagar
385,Chembur
386,Kanjurmarg 
387,Mulund
388,Tilak nagar
389,Mulund
390,Mulund
391,Deonar
392,Deonar
393,Chembur 
394,Kanjurmarg west
395,Mulund
396,Ghatkopar 
397,Ghatkopar
398,Chembur
399,Ghatkopar
400,Chembur 
401,Pirojshanagar
402,Pirojshanagar
403,Ghatkopar 
404,Chembur
405,Deonar
406,Chembur
407,Mulund
408,Mulund
409,Mulund
410,Ghatkopar 
411,Kanjurmarg 
412,Kanjurmarg 
413,Kanjurmarg 
414,Mulund
415,Kanjurmarg 
416,Chembur
417,Ghatkopar 
418,Garodia Nagar
419,Ghatkopar
420,Ghatkopar 
421,Kanjurmarg west
422,Bhandup 
423,Hira Nagar
424,Chandivali
425,Chembur
426,Hariyali
427,Powai
428,Panchkutir Ganesh Nagar
429,Mulund
430,Mulund
431,Mulund
432,Mulund
433,Tagore Nagar
434,Kanjurmarg west
435,Kanjurmarg west
436,Panchkutir Ganesh Nagar
437,Chandivali
438,Powai
439,Chandivali
440,Powai
441,Ghatkopar 
442,Powai
443,Mulund
444,Siddharth Nagar
445,Chembur 
446,Chembur 
447,Deonar
448,Powai
449,Mulund
450,Mulund
451,Ghatkopar
452,Powai
453,Ghatkopar
454,Bhandup 
455,Powai
456,Nahar Amrit Shakti
457,Chandivali
458,Nahar Amrit Shakti
459,Nahar Amrit Shakti
460,Nahar Amrit Shakti
461,Ghatkopar 
462,Bail Bajar
463,Ghatkopar 
464,Sindhi Society Chembur
465,"Nehru Nagar,Kurla"
466,Deonar
467,Sindhi Society Chembur
468,Chembur
469,Powai
470,Kanjurmarg west
471,Deonar
472,Deonar
473,Chembur
474,Ghatkopar 
475,Ghatkopar 
476,Mulund
477,Bhandup 
478,Govind Nagar
479,Chembur
480,Chandivali
481,Bhandup 
482,Chembur 
483,Mulund
484,Chembur 
485,Sion Koliwada
486,Chembur
487,Nehru Nagar
488,Ambedkar Nagar
489,Chembur
490,Chembur 
491,Kanjurmarg 
492,Chembur
493,Chembur
494,Kanjurmarg 
495,Kanjurmarg west
496,Mulund
497,Chembur
498,Chembur
499,Powai
500,Kanjurmarg 
501,Kanjurmarg 
502,Kanjurmarg 
503,Mulund
504,Ghatkopar 
505,Garodia Nagar
506,Vikhroli 
507,Vikhroli 
508,Chembur
509,Vikhroli 
510,Ghatkopar 
511,Ghatkopar 
512,Ghatkopar
513,Deonar
514,Kanjurmarg 
515,Panchkutir Ganesh Nagar
516,Powai
517,Nahar Amrit Shakti
518,Chandivali
519,Tunga Village
520,Powai
521,Ghatkopar 
522,Vikhroli 
523,Vikhroli 
524,Mulund
525,Mulund
526,Mulund
527,Mulund
528,Ghatkopar 
529,Mulund
530,Deonar
531,Mulund
532,Mulund
533,Ghatkopar 
534,Chembur
535,Ghatkopar 
536,Chembur 
537,Garodia Nagar
538,Ghatkopar 
539,Ghatkopar 
540,Chembur
541,Chembur
542,Chembur
543,Chembur
544,Chembur
545,Subhash Nagar
546,Powai
547,Pant Nagar
548,Kanjurmarg 
549,Ghatkopar 
550,Powai
551,Sion Koliwada
552,Chembur 
553,Powai
554,Powai
555,Vikhroli 
556,Powai
557,Chembur 
558,Mulund
559,Powai
560,Tilak nagar
561,Mulund
562,Mulund
563,Mulund
564,Powai
565,Ghatkopar 
566,Ghatkopar 
567,Mulund
568,Powai
569,Chembur
570,Mulund
571,Mulund
572,Mulund
573,Mulund
574,Mulund
575,Powai
576,Powai
577,Chembur 
578,Mulund
579,Sadan wadi
580,Bhandup 
581,Ghatkopar 
582,Pestom Sagar Colony
583,Ghatkopar 
584,Ghatkopar 
585,Kanjurmarg west
586,Bhandup 
587,Kurla 
588,Powai
589,Powai
590,Bhandup 
591,Chembur
592,Bhandup 
593,Bhandup 
594,Bhandup 
595,Sindhi Society Chembur
596,Mulund
597,Mulund
598,Mulund
599,Mulund
600,Mulund
601,Chembur
602,Chembur 
603,Chembur
604,Chembur
605,Mulund
606,Mulund
607,Mulund
608,Sambhaji Nagar
609,Mulund
610,Nahur
611,Kurla 
612,Mulund
613,Sambhaji Nagar
614,Kannamwar Nagar 1
615,Pant Nagar
616,Chembur 
617,Chembur
618,Mulund
619,Powai
620,Powai
621,Powai
622,Powai
623,Powai
624,Powai
625,Powai
626,Powai
627,Powai
628,Powai
629,Ghatkopar 
630,Ghatkopar 
631,Ghatkopar 
632,Ghatkopar 
633,Garodia Nagar
634,Ghatkopar 
635,Ghatkopar 
636,Garodia Nagar
637,Ghatkopar 
638,Ghatkopar 
639,Ghatkopar 
640,Ghatkopar 
641,Sindhi Society Chembur
642,Ghatla
643,Chandivali
644,Sion 
645,Bhandup 
646,Bhandup 
647,Tilak nagar
648,Chembur 
649,Vikhroli 
650,Vikhroli 
651,Vikhroli 
652,Vikhroli 
653,Chembur
654,Chandivali
655,Chandivali
656,Ghatkopar 
657,Powai
658,Pirojshanagar
659,Pirojshanagar
660,Ghatkopar 
661,Ghatkopar 
662,Ghatkopar 
663,Chembur 
664,Chembur 
665,Ghatkopar 
666,Chandivali
667,Ghatkopar 
668,Ghatkopar 
669,Chandivali
670,Ghatkopar 
671,Tilak nagar
672,Chandivali
673,Chembur
674,Powai
675,Chandivali
676,Chembur 
677,Chembur 
678,Chandivali
679,Ghatkopar 
680,Chembur 
681,Sindhi Society Chembur
682,Chembur 
683,Ghatkopar 
684,Chembur 
685,Chembur 
686,Mulund
687,Chembur 
688,Mulund
689,Ghatkopar 
690,Pirojshanagar
691,Pirojshanagar
692,Powai
693,Mulund
694,Chembur 
695,Powai
696,Powai
697,Chembur
698,Powai
699,Powai
700,Chembur 
701,Tilak nagar
702,Garodia Nagar
703,Tilak nagar
704,Tilak nagar
705,Powai
706,Ghatkopar 
707,Kanjurmarg 
708,Swastik Park
709,Union Park
710,Ghatkopar 
711,Powai
712,Powai
713,Powai
714,Kanjurmarg 
715,Powai
716,Mulund
717,Mulund
718,Mulund
719,Mulund
720,Chembur 
721,Bhandup 
722,Govind Nagar
723,Mulund
