Unnamed: 0,locality,locality_clean,latitude,longitude,geocoded_display_name
0,Kurla ,Kurla,19.0652797,72.8793805,"Kurla, S G Barve Marg, Brahmanwadi, Kurla West, L Ward, Mumbai Zone 5, Mumbai, Mumbai Suburban District, Maharashtra, 400024, India"
1,Sadan wadi,Sadan wadi,19.1289515,72.8234663,"Baba Sadan, Versova, K/W Ward, Mumbai Zone 3, Mumbai, Mumbai Suburban District, Maharashtra, India"
2,Chembur ,Chembur,19.0548180,72.8979713,"Chembur, M/W Ward, Mumbai Zone 5, Mumbai, Mumbai Suburban District, Maharashtra, 400089, India"
3,Chembur,Chembur,19.0548180,72.8979713,"Chembur, M/W Ward, Mumbai Zone 5, Mumbai, Mumbai Suburban District, Maharashtra, 400089, India"
4,Mulund,Mulund,19.1721366,72.9566971,"Mulund, Platform 4, Vijay Nagar, Mulund East, T Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400081, India"
5,Antop Hill,Antop Hill,19.0301805,72.8669504,"Antop Hill, M Ambedkar Marg, CGS Colony, Indira Nagar, F/N Ward, Mumbai Zone 2, Mumbai City District, Maharashtra, 400037, India"
6,Vikhroli ,Vikhroli,19.1114795,72.9280210,"Vikhroli, P. Soman Marg, Hariyali, Vikhroli West, S Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400059, India"
7,Govandi,Govandi,19.0553688,72.9150702,"Govandi, B S Devashi Marg, Samrat Ashok Nagar, Govandi West, M/E Ward, Mumbai Zone 5, Mumbai, Mumbai Suburban District, Maharashtra, 400043, India"
8,Chembur ,Chembur,19.0548180,72.8979713,"Chembur, M/W Ward, Mumbai Zone 5, Mumbai, Mumbai Suburban District, Maharashtra, 400089, India"
9,Powai,Powai,19.1187195,72.9073476,"Powai, S Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400076, India"
10,Bhandup ,Bhandup,19.1427570,72.9376543,"Bhandup, Bhandup Station Road, Bhandup West, S Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400078, India"
11,Mulund,Mulund,19.1721366,72.9566971,"Mulund, Platform 4, Vijay Nagar, Mulund East, T Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400081, India"
12,Chandivali,Chandivali,19.1091482,72.8945793,"Chandivali, L Ward, Mumbai Zone 5, Mumbai, Mumbai Suburban District, Maharashtra, 400072, India"
13,Powai,Powai,19.1187195,72.9073476,"Powai, S Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400076, India"
14,Mulund,Mulund,19.1721366,72.9566971,"Mulund, Platform 4, Vijay Nagar, Mulund East, T Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400081, India"
15,Bhandup ,Bhandup,19.1427570,72.9376543,"Bhandup, Bhandup Station Road, Bhandup West, S Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400078, India"
16,Kurla ,Kurla,19.0652797,72.8793805,"Kurla, S G Barve Marg, Brahmanwadi, Kurla West, L Ward, Mumbai Zone 5, Mumbai, Mumbai Suburban District, Maharashtra, 400024, India"
17,Mulund,Mulund,19.1721366,72.9566971,"Mulund, Platform 4, Vijay Nagar, Mulund East, T Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400081, India"
18,Tagore Nagar,Tagore Nagar,19.1196145,72.9343142,"Tagore Nagar, Vikhroli East, S Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400083, India"
