price,price_per_sqft,area,bedrooms,floor_number,is_floor_availabe,area_type,is_area_type_availabe,property_age,is_property_age_availabe,bathroom,property_type,locality
1.6,16243,985,2,middle_floor,1,Not Specified,0,not_specify,0,2,flat,Kurla 
1.75,20588,850,2,lower_floor,1,Super Built-up Area,1,moderately_new,1,2,flat,Sadan wadi
3.8,40728,933,2,Not Specified,0,Not Specified,0,not_specify,0,2,flat,Chembur 
6.99,34950,2000,6,Not Specified,0,Not Specified,0,not_specify,0,7,house,Chembur
1.95,27777,1015,2,Not Specified,0,Not Specified,0,not_specify,0,2,flat,Mulund
1.9,34358,553,2,Not Specified,0,Not Specified,0,not_specify,0,2,flat,Antop Hill
4.15,46316,896,2,lower_floor,1,Carpet Area,1,new_property,1,2,flat,Vikhroli 
1.6,30188,530,2,lower_floor,1,Carpet Area,1,moderately_new,1,2,flat,Govandi
1.99,32252,617,2,Not Specified,0,Not Specified,0,not_specify,0,2,flat,Chembur 
3.3,55258,597,2,higher_floor,1,Not Specified,0,new_property,1,2,flat,Powai
1.3,21848,595,1,middle_floor,1,Built-up Area,1,old_property,1,2,flat,Bhandup 
4.1,21276,1927,3,lower_floor,1,Not Specified,0,new_property,1,3,flat,Mulund
3.2,32520,984,3,higher_floor,1,Carpet Area,1,not_specify,0,3,flat,Chandivali
3.15,41666,756,2,Not Specified,0,Not Specified,0,not_specify,0,2,flat,Powai
1.25,26041,480,1,lower_floor,1,Not Specified,0,not_specify,0,2,flat,Mulund
2.06,25526,807,2,middle_floor,1,Carpet Area,1,new_property,1,2,flat,Bhandup 
1.3,24030,540,2,higher_floor,1,Carpet Area,1,new_property,1,2,flat,Kurla 
2.5,25000,1000,3,Not Specified,0,Not Specified,0,not_specify,0,3,flat,Mulund
1.48,28083,527,2,Not Specified,0,Not Specified,0,not_specify,0,2,flat,Tagore Nagar
1.6,14285,1120,2,middle_floor,1,Not Specified,0,moderately_new,1,3,flat,Kannamwar Nagar 2
2.4,30188,795,2,higher_floor,1,Carpet Area,1,new_property,1,2,flat,Kanjurmarg 
7.02,34143,2056,3,higher_floor,1,Built-up Area,1,not_specify,0,3,flat,Chandivali
4,21493,1861,3,lower_floor,1,Not Specified,0,new_property,1,3,flat,Mulund
2.36,29685,795,2,higher_floor,1,Carpet Area,1,new_property,1,2,flat,Kanjurmarg 
2.4,30188,795,2,higher_floor,1,Carpet Area,1,new_property,1,2,flat,Kanjurmarg 
1.5,26690,562,2,higher_floor,1,Carpet Area,1,new_property,1,2,flat,Vikhroli 
2.3,28930,954,2,higher_floor,1,Carpet Area,1,new_property,1,2,flat,Kanjurmarg 
2.22,28030,792,2,Not Specified,0,Not Specified,0,not_specify,0,2,flat,Mulund
3.76,32809,1146,3,middle_floor,1,Not Specified,0,not_specify,0,2,flat,Raheja Vihar
6,45351,1323,3,Not Specified,0,Not Specified,0,not_specify,0,3,flat,Chembur
1.6,22857,700,2,higher_floor,1,Built-up Area,1,new_property,1,2,flat,Bhandup 
3,26785,1120,3,higher_floor,1,Not Specified,0,new_property,1,2,flat,Kanjurmarg west
