locality,latitude,longitude,display_name,class,type,query_used
Adai,19.0053004,73.1233424,"Adai lake, New Panvel, Panvel, Panvel Subdistrict, Raigad, Maharashtra, India",,lake,"Adai, Maharashtra, India"
Adaigaon,,,,,,
Adarsh Nagar,19.1421134,72.8345595,"Adarsh Nagar, Jogeshwari West, K/W Ward, Mumbai Zone 3, Mumbai, Mumbai Suburban District, Maharashtra, India",,residential,"Adarsh Nagar, Maharashtra, India"
Adharwadi,20.4844919,75.4606676,"Adharwadi, Sillod, Chhatrapati Sambhajinagar District, Maharashtra, India",,village,"Adharwadi, Maharashtra, India"
Agripada,18.9750400,72.8250555,"Agripada, Byculla West, E Ward, Mumbai Zone 1, Mumbai City District, Maharashtra, 400004, India",,neighbourhood,"Agripada, Maharashtra, India"
Air Force Quarters,19.0420886,72.8660780,"Air Force Quarters, Sion East, F/N Ward, Mumbai Zone 2, Mumbai City District, Maharashtra, India",,residential,"Air Force Quarters, Maharashtra, India"
Airoli,19.1585147,72.9994019,"Airoli, Airoli Station Road, Airoli Sector 2, Airoli, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, 400708, India",,station,"Airoli, Maharashtra, India"
Ambedkar Nagar,19.0015921,72.8442272,"Ambedkar Nagar, Acharya Donde Marg, Parmanand Wadi, Parel, F/S Ward, Mumbai Zone 2, Mumbai City District, Maharashtra, 400015, India",,station,"Ambedkar Nagar, Maharashtra, India"
Ambernath,19.2015607,73.2004771,"Ambernath, Ulhasnagar Subdistrict, Thane, Maharashtra, India",,administrative,"Ambernath, Maharashtra, India"
Antop Hill,19.0301805,72.8669504,"Antop Hill, M Ambedkar Marg, CGS Colony, Indira Nagar, F/N Ward, Mumbai Zone 2, Mumbai City District, Maharashtra, 400037, India",,station,"Antop Hill, Maharashtra, India"
Artist Village,19.0190244,73.0390629,"CBD Belapur, Sakal Bhavan Marg, Sector 11, Belapur West, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, 400614, India",,train_station,CBD Belapur Navi Mumbai Maharashtra India
Asalpha,19.0970000,72.8945000,"Asalpha, L Ward, Mumbai Zone 5, Mumbai, Mumbai Suburban District, Maharashtra, 400072, India",,suburb,"Asalpha, Maharashtra, India"
Asha Nagar,19.2117164,72.8646991,"Dhruv Apartments, Asha Nagar, Asha Nagar Road, Thakur Complex, Kandivali East, R/S Ward, Mumbai Zone 4, Mumbai, Mumbai Suburban District, Maharashtra, 400101, India",,apartments,"Asha Nagar, Maharashtra, India"
BS Ambedkar Nagar,19.0009114,72.8493704,"Ambedkar Nagar, Sewri, F/S Ward, Mumbai Zone 2, Mumbai City District, Maharashtra, India",,residential,"BS Ambedkar Nagar, Maharashtra, India"
Badhwar Park,18.9190415,72.8264976,"Badhwar Park Railway Officer's Residences, Colaba, A Ward, Mumbai Zone 1, Mumbai City District, Maharashtra, India",,residential,"Badhwar Park, Maharashtra, India"
